"	PU
มาดอนนา	NN
"	PU
ตก	VV
ม้า	NN

ราชินี	NN
เพลงป๊อป	NN
คน	NN
ดัง	VV
มาดอนนา	NN
ประสบ	VV
อุบัติเหตุ	NN
ตก	VV
ม้า	NN
เมื่อ	PS
วัน	NN
เสาร์	NN
ที่	PS
18	NU
เม.ย.	NN
ที่	CC
ผ่าน	VV
มา	AV

ล่าสุด	NU
โฆษก	NN
ส่วน	NN
ตัว	NN
ของ	PS
เธอ	PR
ออก	AV
มา	AV
ยืนยัน	VV
ว่า	CC
ที่	CC
นักร้อง	NN
คน	NN
ดัง	VV
ต้อง	AX
ประสบ	VV
อุบัติเหตุ	NN
เป็น	VV
เพราะ	CC
มี	VV
ปาปาราซซี	NN
คน	CL
หนึ่ง	NU
โผล่	VV
จาก	PS
พุ่ม	NN
ไม้	NN
มา	AV
ขวาง	VV

เพื่อ	CC
ถ่าย	VV
ภาพ	NN
ชีวิต	NN
ประจำ	VV
วัน	NN
ของ	PS
นักร้อง	NN
คน	NN
ดัง	VV
ร้อน	VV
ถึง	PS
โธมัส	NN
ฮินตั้น	NN
ช่าง	NN
ภาพ	NN
ที่	CC
ได้	AX
ภาพ	NN
เด็ด	VV
ออก	AV
มา	AV
โต้	VV
ว่า	CC
ถ่าย	VV
ภาพ	NN
ได้	AX
จาก	PS
ถนน	NN
ด้าน	PS
นอก	PS
ไม่	NG
ได้	AX
เฉียด	VV
เข้า	AV
ไป	VV
ใกล้	PS
เลย	PA
แม้แต่น้อย	CC
