"	PU
เนวิน	NN
"	PU
ยืนยัน	VV
จะ	AX
ไป	AV
รับฟัง	VV
คำ	NN
ตัดสิน	VV
ของ	PS
ศาล	NN
ใน	PS
คดี	NN
ทุจริต	VV
การ	FX
จัด	VV
ซื้อ	VV
กล้ายาง	VV

นาย	NN
เนวิน	NN
ชิดชอบ	NN
ยืนยัน	VV
จะ	AX
เดินทาง	VV
ไป	AV
รับฟัง	VV
คำ	NN
ตัดสิน	VV
ของ	PS
ศาล	NN
ใน	PS
คดี	NN
ทุจริต	VV
การ	FX
จัด	VV
ซื้อ	VV
กล้ายาง	VV
พร้อม	CC
ปฏิเสธ	VV
กรณี	CC
ที่	CC
ตนเอง	PR
ออก	AV
มา	AV
คัดค้าน	VV
การ	FX
ล่า	VV
รายชื่อ	NN
เพื่อ	CC
ยื่น	VV
ถวาย	VV
ฎีกา	NN
ของ	PS
กลุ่ม	NN
นปช.	NN
ไม่	NG
ใช่	VV
เพื่อ	CC
ต่อ	VV
รอง	VV
การ	FX
ตัดสิน	VV
คดี	NN
ของ	PS
ตนเอง	PR

นาย	NN
เนวิน	NN
ชิดชอบ	NN
แกนนำ	NN
พรรค	NN
ภูมิใจ	VV
ไทย	NN
กล่าว	VV
ว่า	CC
ใน	PS
วัน	NN
ที่	NN
17	NU
สิงหาคม	NN
นี้	AJ
จะ	AX
มี	FX
การ	FX
พิจารณา	VV
คดี	NN
ทุจริต	VV
จัด	NN
ซื้อ	NN
ต้น	NN
กล้า	NN
ยางพารา	NN
จำนวน	NN
90	NU
ล้าน	NN
ต้น	CL
ซึ่ง	CC
ตนเอง	PR
เกี่ยวข้อง	VV
กับ	PS
คดี	NN
ด้วย	AV
จึง	CC
ยืนยัน	VV
ว่า	CC
ใน	PS
ฐานะ	NN
เป็น	VV
คน	NN
ไทย	NN
ที่	CC
เคารพ	VV
ต่อ	PS
กฎหมาย	NN
ไม่	NG
คิด	VV
ที่	CC
จะ	AX
หนี	VV
และ	CC
จะ	AX
เดินทาง	VV
ไป	AV
รับฟัง	VV
คำ	NN
พิพากษา	VV
ของ	PS
ศาล	NN

พร้อม	CC
กัน	PR
นี้	AJ
ขอ	VV
ปฏิเสธ	VV
การ	CC
ที่	CC
ตนเอง	PR
ออก	AV
มา	AV
เคลื่อนไหว	VV
คัดค้าน	VV
การ	FX
รวบรวม	VV
รายชื่อ	NN
ของ	PS
กลุ่ม	NN
นปช.	NN
เพื่อ	CC
ถวาย	VV
ฎีกา	NN
ขอ	VV
พระราชทาน	VV
อภัยโทษ	NN
ให้	CC
กับ	PS
พ.ต.ท	NN
.	NN
ทักษิณ	NN
ชินวัตร	NN
อดีต	NN
นายก	NN
รัฐมนตรี	NN
นั้น	AJ
ไม่	NG
ได้	AX
เป็น	VV
ไป	AV
เพื่อ	CC
การ	FX
ต่อ	VV
รอง	VV
เรื่อง	NN
ของ	PS
คดี	NN
เพื่อ	CC
ให้	CC
ตนเอง	PR
พ้น	VV
ผิด	VV
แต่อย่างใด	AV

และ	CC
การ	FX
คัดค้าน	VV
การ	FX
รวบรวม	VV
รายชื่อ	NN
เพื่อ	CC
ยื่น	VV
ถวาย	VV
ฎีกา	NN
ดังกล่าว	AJ
ตนเอง	PR
อยู่	VV
เบื้อง	NN
หน้า	NU
ตลอด	VV
ไม่	NG
เคย	AX
อยู่	VV
เบื้อง	NN
หลัง	NU

นาย	NN
เนวิน	NN
กล่าว	VV
ด้วย	AV
ว่า	CC
ตนเอง	PR
รู้สึก	VV
ประหลาดใจ	VV
ที่	CC
กลุ่ม	NN
นปช.	NN
ออก	AV
มา	AV
ระบุ	VV
ว่า	CC
มี	VV
รายชื่อ	NN
ถึง	VV
5	NU
ล้าน	NN
รายชื่อ	NN
ที่	CC
ร่วม	VV
ลง	AV
ชื่อ	NN
ถวาย	VV
ฎีกา	NN
แล้ว	AX

ซึ่ง	CC
ตาม	PS
หลัก	NN
สถิติ	NN
ต้อง	AX
ถือ	VV
ว่า	CC
เป็น	VV
อัตรา	NN
ส่วน	NN
1	NU
ต่อ	PS
10	NU
ของ	PS
ประชากร	NN
ผู้	FX
มี	VV
บัตร	NN
ประชาชน	NN
นั่น	PR
เท่า	VV
กับ	PS
ว่า	CC
คน	NN
ไทย	NN
10คน	NU
ต้อง	AX
มี	VV
1คน	CL
ที่	CC
ลง	VV
ชื่อ	NN
