"	PU
สุเทพ	NN
"	PU
ไม่	NG
หนักใจ	VV
เป็น	VV
1	NU
ใน	PS
13	NU
ส.ส.	NN
ที่	CC
กกต.	NN
ลง	VV
มติ	NN
มี	VV
ความ	FX
ผิด	VV
ตาม	PS
รัฐธรรมนูญ	NN

รอง	NN
นายก	NN
รัฐมนตรี	NN
ไม่	NG
หนักใจ	VV
หลัง	CC
เป็น	VV
1	NU
ใน	PS
13	NU
ส.ส.	NN
ที่	CC
กกต.	NN
ลง	VV
มติ	NN
ว่า	CC
มี	VV
ความ	FX
ผิด	VV
ตาม	PS
รัฐธรรมนูญ	NN
เนื่องจาก	CC
ถือ	VV
หุ้น	NN
ใน	PS
บริษัท	NN
ที่	CC
เป็น	VV
คู่	NN
สัมปทาน	NN
ของ	PS
รัฐ	NN

นาย	NN
สุเทพ	NN
เทือกสุบรรณ	NN
รอง	NN
นายก	NN
รัฐมนตรี	NN
และ	CC
เลขาธิการ	NN
พรรค	NN
ประชาธิปัตย์	NN
ปฏิเสธ	VV
ยัง	AX
ไม่	NG
ทราบ	VV
ใน	PS
รายละเอียด	NN
หลัง	CC
กกต.	NN
มี	VV
มติ	NN
ให้	CC
13	NU
ส.ส.	NN
ของ	PS
พรรค	NN
ประชาธิปัตย์	NN
ความ	FX
ผิด	VV
ตาม	PS
รัฐธรรมนูญ	NN
เนื่องจาก	CC
ถือ	VV
หุ้น	NN
ใน	PS
บริษัท	NN
ที่	CC
เป็น	VV
คู่	NN
สัมปทาน	NN
ของ	PS
รัฐ	NN

โดย	CC
มี	VV
ชื่อ	NN
ของ	PS

นาย	NN
สุเทพ	NN
อยู่	VV
ใน	PS
จำนวน	NN
นี้	AJ
ด้วย	AV
เนื่องจาก	CC
ตนเอง	PR
ติด	VV
ประชุม	VV
ตลอด	AJ
ช่วง	NN
บ่าย	NN
แต่	CC
ยืนยัน	VV
ว่า	CC
เมื่อ	CC
พร้อม	VV
ก็	CC
จะ	AX
ชี้แจง	VV
ใน	PS
ภายหลัง	PS
และ	CC
ย้ำ	VV
ว่า	CC
คำ	NN
วินิจฉัย	VV
ดังกล่าว	AJ
ไม่	NG
กระทบ	VV
ต่อ	PS
เสถียรภาพ	NN
ของ	PS
รัฐบาล	NN
และ	CC
โดย	CC
ส่วน	NN
ตัว	NN
ไม่	NG
รู้สึก	VV
หนักใจ	VV
อะไร	PR
